N,hex_id,Name,Source,Europol link,Country,Products,Category,Evidence,LEAs and institutions they work with,"People, products, information"
25,3,Cat Labs (Crypto Asset Technology Labs),Research & Industry Days 2025,RID 2025,Florida (USA),"CAT Labs is building digital asset recovery and cyber defense tools to enable governments to fight crypto crime and defend against the misuse of emerging technologies. Founded by Lilita Infante, former US DoJ official. The team behind CAT Labs

At the helm of a team of crypto and cybersecurity veterans with deep ties to the U.S. Justice Department is CEO Lili Infante. She is a former U.S. Department of Justice Special Agent and pioneer of an early federal crypto and dark web crimes task force.

Infante is joined by Chief Security Officer Uri Stav, who brings an impressive 25-year experience of leading security teams, having previously held the position of CSDO at Digital Currency Group. 

Additionally, CAT Labs’ Head of Digital Forensics, John Hays, is a former U.S. Department of Justice forensic examiner, specializing in digital asset recovery. With a remarkable 7+ years of experience, Hays assisted in some of the most high-profile federal law enforcement investigations involving cryptocurrencies and the dark web, contributing to the seizure of over $150 million in crypto assets. They might be well-positioned to profit out of Trump's administration race to recover assets and create a bitcoin fund.",,,,
11,23,Idemia,Research & Industry Days 2024,RID 2024,France,Generative AI for biometric data generation,,,,
36,24,Elephantastic Software,Research & Industry Days 2025,RID 2025,France,"French OSINT startup, created in 2023 by Nicolas DE RYCKE: Elephantastic is an all-in-one investigation platform that aggregates various sources, feeds, and databases.

🔗 It also connects heterogeneous data such as names, phone numbers, IP addresses, and images.

🔎 Elephantastic simplifies the collection of information by bringing together multiple data sources and linking them to facilitate their exploitation.

🎯 Finally, you can have a single platform for all your OSINT research!",,https://www.linkedin.com/posts/elephantastic_europol-activity-7293299218448855041-qs82?utm_source=share&utm_medium=member_desktop&rcm=ACoAABBbCWkBiBhX2XH04Yhe74Ncu6uzsrkSW90,,
20,12,Prevency GmBH (with ESG Elektroniksystem- und Logistik),Research & Industry Days 2024,RID 2024,Germany,"Preparadness and events simulation. Developed in collaboration with the NATO StratCom COE and recognized as a finalist in the NATO Innovation Challenge 2021 on “Cognitive Warfare”, InfoRange® enables realistic, scenario-based training in a simulated information environment. The software convincingly replicates digital channels such as social media, news portals, and websites — and integrates seamlessly into existing exercises. This allows units to train for operations in the information environment in a practical and realistic way — before it gets real. ",,https://www.linkedin.com/posts/larsniggemann_osint-activity-7153026772433850368-Cy3h?utm_source=share&utm_medium=member_desktop&rcm=ACoAABBbCWkBiBhX2XH04Yhe74Ncu6uzsrkSW90,,Unlisted in Europol's programme event
29,13,Innosystec,Research & Industry Days 2025,RID 2025,Germany,"We are thrilled to have the opportunity to present SCOPE, our Analytics and Knowledge Hub at the 2025 Europol Industry and Research Days event next week.
SCOPE facilitates the fusion of heterogeneous, complementary sensor data and information within a single system. This foundation enables SCOPE to create a validated situational and operational picture for et al. the police sector.",,https://www.linkedin.com/posts/innosystec_inno-police-bigdata-activity-7295343392320860161-16i9?utm_source=share&utm_medium=member_desktop&rcm=ACoAABBbCWkBiBhX2XH04Yhe74Ncu6uzsrkSW90,,
32,11,Agentur für Innovation in der Cybersicherheit GmbH (Cyberagentur),Research & Industry Days 2025,RID 2025,Germany,The Cyberagentur is part of the National Security Strategy of the Federal Republic of Germany.,,https://www.linkedin.com/posts/michael-domberg-885aa1a7_europol-cybersecurity-innovation-activity-7293924222249099264-JFL9?utm_source=share&utm_medium=member_desktop&rcm=ACoAABBbCWkBiBhX2XH04Yhe74Ncu6uzsrkSW90,,
41,14,Roboverse Reply,Research & Industry Days 2025,RID 2025,Germany,"Robotics integration solutions. Part of the Reply Spa group/consultation firm, based in Italy.  They took part in the European Land Robot Trial in 2024, showcasing solutions through which you can control robots (including by Boston Dynamics), in security operations. ",,,,"It leads the EU Horizon 2020 research project Fluently:""The project aims to create a platform that fosters real social collaboration between humans and robots in industrial settings by leveraging the latest advancements in AI-driven decision-making. """
49,15,Maltego Technologies,Research & Industry Days 2025,"RID 2025 + Sergio Enrique Leal Rodriguez was a former Europol EC3 official until moving to Maltego in May 2023. Carlos Fragoso, a Maltego trainer/analyst, is part of some Europol's expert group.",Germany,Social media OSINT company providing services to monitor social media in real-time using AI-driven analysis to manage large data volumes. ,,,,
35,50,Innovation Lab of Police agency of NRW - Germany / Boston Dynamics & Spike App,Research & Industry Days 2025,RID 2025 + Europol Innovation Lab has visited NRW in August 2024 ,"Germany, USA","Automated robotics and robot dogs, integrated with others systems (Israel's Percepto drones since 2020)",,https://www.linkedin.com/posts/dominic-reese-4ab9782b5_europol-innovationlab-ai-activity-7292592483320950786-9hTa?utm_source=share&utm_medium=member_desktop&rcm=ACoAABBbCWkBiBhX2XH04Yhe74Ncu6uzsrkSW90,,Boston Dynamics involvement with Israel and US military: https://mapliberation.org/plain/entities/BostonDynamics.html
44,39,Quadible Greece PC,Research & Industry Days 2025,RID 2025,Greece,"A Greece-based SME, introducing an AI-platform that continuously authenticates end-users, without the need of any input by learning their behavioural patterns such as the way they move, the way they use their devices, their biometrics and transactional patterns.
Quadible helps reduce fraud and improve customer satisfaction through continuous behavioural authentication.",,,,"Partner in several EU-funded research project, including Odysseus, for seamless border control Ai-driven solutions, TENSOR (where Phonexia, Idemia are partner as well) that aims at using biometrics and data fusion to prevent crimes, TANGO (with VTT)"
3,33,Veneto privacy Services LTD,Research & Industry Days 2024,"RID 2024 + Linkedin shows links between Julian Hayes, director and founder, and Europol DPF",Ireland,"""We offer Data protection Officer services to oversee data protection compliance and reporting obligations and to assist implementation requirements of GDPR / CCPA"". Their tool: ""Universal DPO provides guidance for DPO accountability and generates Certificates of Decisions, all privacy case types.""",,,,
4,32,iTrust Ethics Ltd,Research & Industry Days 2024,"RID 2024 + IPSCC (whose board iTrust Ethics CEO sits in) are part of ECLAG, the coalition of pro-CSAM Regulation NGO",Ireland,iTrust Ethics have developed a decision-making framework; iTrust6A™ based on 20+ years’ experience of handling requests from law enforcement agencies. The framework was then coded into Group 2000’s LIMA Workflow Management Software which provides tailor-made client workflows.,,,Member of the European Telecommunications and Standardisation Institute (ETSI) ,"Maureen King, Director
Founder and CEO of iTrust Ethics Ltd, is also a board member of ISPCC, Ireland's main hotline to protect children"
31,52,Trilateral Research,Research & Industry Days 2025,RID 2025,"Ireland, UK","Gavin Day, Client Relationship Lead, presented today on how CESIUM can support child safeguarding efforts across Europe. He said the following:
""Today provided a great opportunity to highlight the benefits that CESIUM can have in tackling child exploitation, not just in the UK but all over Europe. It was interesting to get a handle of European law enforcement’s approach to overall child vulnerability and how CESIUM can take their response to the next level.""",,https://www.linkedin.com/posts/trilateral-research_innovation-lawenforcement-aiforgood-activity-7292927454757675008-NOU8?utm_source=share&utm_medium=member_desktop&rcm=ACoAABBbCWkBiBhX2XH04Yhe74Ncu6uzsrkSW90,,Partner in Horizon 2020 projects Ceasifire and...
1,26,Netspark ,Research & Industry Days 2024,RID 2024,Israel,"CaseScan: 
Prioritize devices for extraction/processing and streamline workflow.
Identify first generation CSAM for Victim Identification analyses utilizing AI. Content filtering from social media, apps. The tool was presented with Onemi-Global Solutions. ",,https://www.linkedin.com/posts/onemi-global-solutions_an-amazing-opportunity-for-onemi-global-solutions-activity-7153788294793752576-q1Qa/,,
47,25,Cellebrite,Research & Industry Days 2025,"RID 2025 + Europol mentioned as having 2 Cellebrite scanning stations, in 2012, and used them - the UFED - in this 2016 migrant smuggling operation in Bulgaria, in this one in Poland in 2019 + mentioned in this website post",Israel,"Cellebrite is an Israeli digital intelligence company, staffed by former Israeli military and intelligence officers, that is commonly used by law enforcement across the globe to hack and access data on mobile phones. Its phone data extraction tools have been used to foster surveillance and repression globally: Amnesty's 2024 report found Serbian authorities used it to spy on activists and journalists. See this article:  In Hong Kong, Chinese officials used its technology to hack into the phones of pro-democracy demonstrators, The Intercept reported. According to the Committee to Protect Journalists, police in Botswana have used it to crack the phones of detained journalists. And in Russia, authorities used its technology to hack opposition figures, Haaretz found. In Myanmar, authorities used Cellebrite’s technology to hack the phones of two Reuters journalists who had uncovered evidence of a Rohingya massacre, in 2018, and were later detained. In Bangladesh, it is used by the Rapid Action Batallion, a violent paramilitary group. According to this article: The company has announced that it has secured business with six of the world’s biggest oil refiners and six of the planet’s largest pharmaceutical firms. It has also moved into the increasingly profitable field of corporate surveillance.It already works with ICE, FBI, hundreds of local police departments in the US, is set to expand its market value significantly under new partnerships with UK LEAs, US bodies, and more. 

In Israel, The Jewish News Syndicate reported that Cellebrite helped the government unlock the phones of Hamas operatives who took part in the attacks of October 7. This past summer, Cellebrite allegedly received funding from the Pentagon to develop a product to help identify and map Hamas operatives in Gaza, Calcalist, an Israeli news site, reported earlier this year. Very useful list of Cellebrite's clients here, including use to control migrants. ",,,,Used by Italian Police
9,48,NEC,Research & Industry Days 2024,RID 2024 + contracted for Europol new FRT tool,Japan,Face Recognition Technology NeofaceWatch,,,,
15,45,Tadaweb,Research & Industry Days 2024,RID 2024,Luxemburg,Tadaweb provides an open-source intelligence (OSINT) platform that magnifies the impact of investigative and analytical teams.,,,,
17,16,Netherlands Forensic Institute,Research & Industry Days 2025,RID 2025,Netherlands,,,,,
19,19,Volto Labs,Research & Industry Days 2024,"RID 2024 + part of the Hague Security Delta, to which Europol is a premium partner",Netherlands,Cyber Agent Technology (CAT) platform. OSINT.,,https://www.linkedin.com/posts/voltolabs_volto-labs-was-honoured-to-present-its-cyber-activity-7154541459591806976-LlOY?utm_source=share&utm_medium=member_desktop&rcm=ACoAABBbCWkBiBhX2XH04Yhe74Ncu6uzsrkSW90,,Unlisted in Europol's programme event
34,18,AirHub,Research & Industry Days 2025,RID 2025,Netherlands,"drone operations software. Portfolio company of Dutch investment fund Lumo Labs. Used by Dubai Police, Belgian Police",,https://www.linkedin.com/posts/airhub_%F0%9D%97%94%F0%9D%97%B6%F0%9D%97%BF%F0%9D%97%9B%F0%9D%98%82%F0%9D%97%AF-%F0%9D%97%B6%F0%9D%98%80-%F0%9D%97%BD%F0%9D%97%AE%F0%9D%97%BF%F0%9D%98%81%F0%9D%97%B6%F0%9D%97%B0%F0%9D%97%B6%F0%9D%97%BD%F0%9D%97%AE%F0%9D%98%81%F0%9D%97%B6%F0%9D%97%BB%F0%9D%97%B4-activity-7291055630784626688-BaAF?utm_source=share&utm_medium=member_desktop&rcm=ACoAABBbCWkBiBhX2XH04Yhe74Ncu6uzsrkSW90,,
37,17,Supervision BV,Research & Industry Days 2025,RID 2025,Netherlands,"""We would like to thank for the opportunity to showcase our integrated solution with Doodle Labs wifi mesh radio and Axis Communications bodyworn live.""",,Folder,,
13,41,Datawalk,Research & Industry Days 2024,RID 2024,Poland,"Software for AI-driven intellingence analysis, they offer ""Graph and AI-Driven Data Fusion, Analysis Prototyping, Investigation and Decision Automation"".They present their products as alternatives to Palantir Gotham and Foundry. ",,,"US Dept. of Justice, US Dept of Homeland Security, US. Dept. of State, US Dept. of Defense, European intelligence agencies",
48,47,Geosat,Research & Industry Days 2025,RID 2025,Portugal,One of the EU's largest satellite imagery providers. ,,,,
50,44,Bitdefender,Research & Industry Days 2025,"RID 2025 + partner in the EU Horizon project AIDA, with Europol + Partner in operations: 2018-19 on a ransomware case + part of Europol's Advisory Group on Internet Security (AGIS)",Romania,Cybersecurity company that developed a decryption tool,,,,
39,51,Resaro Group,Research & Industry Days 2025,RID 2025,"Singapore, and Germany since 2025","We at could contribute with our solution - hardening the
security infrastructure against deepfakes for our defense units and national
security agencies. Clarity offers a flexible but contextual and scalable workflow
to apply synthetic generation methods to test and assess various deepfake
detector solutions based on the attack domain and type of data and model.",,https://www.linkedin.com/posts/olly-salzmann-7292851_clarity-lawenforcement-artificalintelligence-activity-7293204933498093569-VLQJ?utm_source=share&utm_medium=member_desktop&rcm=ACoAABBbCWkBiBhX2XH04Yhe74Ncu6uzsrkSW90,,
12,29,ISID,Research & Industry Days 2024,RID 2024,Spain,"Intelion video analysis tool. Madrid, February 7th 2024. ISID, a technology company focused on AI solutions and platforms for advanced video and audio storage and analysis attended the Europol Industry & Research Days 2024 from January 16 to 18 in The Hague. ISID was invited to the “AI Tools” session to present a real use case of video analysis using AI in a European police force, with its Intelion platform. ",,,,
18,28,Crow Technologies Engineering,Research & Industry Days 2024,RID 2024,Spain,,,,,
27,27,HI Iberia Ingenieria y Proyectos,Research & Industry Days 2025,RID 2025,Spain,"our team had the opportunity to present AURORA, our AI-powered intelligence platform, and showcase how it’s transforming law enforcement operations. Attendees got a first-hand look at the groundbreaking integration of SEDA (SatElite Data AI) and LAILA (Large Language Models & AI Agents), and how these technologies empower law enforcement agencies to enhance real-time monitoring and strategic decision-making.

💡 AURORA in action:
 • Detecting illicit activities with satellite data
 • Improving data-driven responses to complex threats
 • Strengthening collaboration between agencies and stakeholders",,https://www.linkedin.com/posts/h%2Ei%2E-iberia-ingenier-a-y-proyectos_europol-innovation-ai-activity-7290664040534564864--5Pd?utm_source=share&utm_medium=member_desktop&rcm=ACoAABBbCWkBiBhX2XH04Yhe74Ncu6uzsrkSW90,,
40,30,Future Space,Research & Industry Days 2025,RID 2025,Spain,,,,,
43,31,Bee The Data,Research & Industry Days 2025,RID 2025,Spain,"Bee the data is a start-up that began trading in 2015 and is based in Barcelona.
It has been developing software through AI cameras and algorithms that capture, analyse and understand human behaviour in physical areas. The project’s
website says that LEAs awarded the company a mention of honour. It sells two products:
Beehavior, which employs state-of-the-art deep learning algorithms to capture, analyse and understand human behaviour at physical points from camera feeds, and is used for business purposes.
Beeye, a mass facial recognition technology, able to detect people’s unique physical characteristics, and is used for security purposes. The company partners with the Catalunya police (Mossos) for the Kuppel System, an intrusive public space surveillance programme combining drone images, camera and AI tools, according to this 2025 report by the LSE.",,,,Presented at Frontex industry days in 2020
24,42,Paliscope,Research & Industry Days 2025,"RID 2025 + Europol told MEP Breyer in 2020 it is not using Paliscope (instead, Griffeye)",Sweden,"OSINT tools to analyse big data. Former British Army cyber specialist Joseph Jones represented at RID 2025, along with Christian Berg https://www.linkedin.com/in/christiansjoberg/ ""our team delivers technology that helps organizations and authorities process, analyze and document investigative data. Our competencies span wide, including intelligence analysts, developers, expert trainers with law enforcement and military background, AI researchers and many more."" Marketed for child abuse, anti trafficking, war crimes in Ukraine. It was sold by the Safer Society Group to Cyberinsight in 2021. Safer Society Group integrated image search tool PimEyes into Paliscope, raising criticism in Germany about the legality to use it in police operations. See also: https://netzpolitik.org/2020/pimeyes-face-search-company-is-abolishing-our-anonymity/  and this commentary.  In May 2021, the data protection authority of Baden-Württemberg opened an investigation concerning PimEyes. Berg is also the founder of Griffeye, NetClean and Safer Society Groups. (NetClean became in 2013 a partner of the GVT: https://www.ice.gov/news/releases/2-new-private-partners-join-virtual-global-taskforce-effort-combat-online-child. ).Old bio: ""Christian Berg has founded the Safer Society Group which consists of the three companies NetClean, Griffeye and Paliscope. NetClean has a suite of products to stop child sexual abuse content, Griffeye has the world’s premier solution to investigate cases involving huge volumes of images and videos and Paliscope is the tool for online investigations""",,,,
5,20,Centric/CC4AI,Research & Industry Days 2025,RID 2024,UK,"Tool developed through the AP4AI research project, led by Europol, with Centric and the EU Innovation Hub",,,,
10,22,Camera Forensics,Research & Industry Days 2024,RID 2024,UK,"Our technology indexes imagery across the web to match online and offline personas, ",,,"Cecilia Wallin worked as an investigator for the Swedish Police Authority, specialising in child sexual exploitation cases, to coordinate international efforts against child sexual exploitation at INTERPOL. She is also Onemi-Global Solutions' founding partner. along with another Camera Forensics member, Jim Cole, former Interpol and HSI CSAM expert, who's linked as well with Netspark.",
30,21,Issured Limited ,Research & Industry Days 2025,RID 2025,UK,"Developed / MEA - Digital Evidence Integrity. Both MeaConnexus and MeaFuse, created by Issured Limited, utilise Blockchain technology to ensure the digital chain of custody persists throughout the lifecycle of the evidence from its point of capture.",,https://www.linkedin.com/posts/issured_europol-deepfake-deepfakeprevention-activity-7290337910401171457-GsHI?utm_source=share&utm_medium=member_desktop&rcm=ACoAABBbCWkBiBhX2XH04Yhe74Ncu6uzsrkSW90,,
6,6,908 Devices,Research & Industry Days 2024,RID 2024,USA,"MX908, a CRBM sensor and robotics tool used by LEAs in the US, recently sold to Ukraine in 2024, bought by Romanian Customs in 2024. The company offers a suite of handheld and desktop devices for point-of-need chemical analysis, including MX908, ThreatID, ProtectIR, XplorIR, Rebel, ZipChip Interface, Maverick, and Maven. These devices leverage mass spectrometry, optical spectroscopy, microfluidics, and machine learning technologies to provide quick, actionable answers in various markets such as forensics, bioprocessing, and life sciences research.",,,,
7,7,Pendar Technologies,Research & Industry Days 2024,RID 2024,USA,Standoff analysis tool to identify chemical materials,,,,
16,9,Clean DNS,Research & Industry Days 2024,RID 2024,USA,"Actionable, affordable, streamlined abuse management and online harm mitigation. Working with registries, registrars, cybersecurity organizations, and more to streamline online harm remediation and disruption. CleanDNS is part of the IWF. ",,,,
22,8,SOC Radar,Research & Industry Days 2025,RID 2025,USA,"Dark Web and internet intelligence enriched via AI algorithms. Phising and data leaks detection. Big-data powered investigation tool called ThreatHose. SOCRadar is a provider of Extended Threat Intelligence (XTI) delivered via a Software as a Service (SaaS) platform. The offerings of the company include External Attack Surface Management (EASM), Digital Risk Protection Services (DRPS), and Cyber Threat Intelligence (CTI). Its platform provides organizations the capacity to enhance their Security Operations Center (SOC) team efficiency by only dealing with valid, actionable, and context-based threat alerts, thereby eliminating the issue of false positives. ",,https://www.linkedin.com/posts/serkan-kangal_europol-europol-cybersecurity-activity-7293506037880385536-qs70?utm_source=share&utm_medium=member_desktop&rcm=ACoAABBbCWkBiBhX2XH04Yhe74Ncu6uzsrkSW90,,"While the RID presentation was done by Serkan Kangal, another SOCRadar official was there: Ensar Seker.  In his LinkedIn, he lists being a trainer for CEPOL, a Nato advisor. Unclear if the positions are actually ongoing. In his website he mentions both: https://www.ensarseker.net/judge-of-the-work"
45,1,Rank One Computing Corporation,Research & Industry Days 2025,RID 2025,USA,"Rank One Computing develops top-tier facial recognition algorithms used to solve mission-critical security issues.

Built atop the only U.S. built facial recognition algorithm with top-tier accuracy and efficiency across all NIST FRVT metrics, ROC Watch offers a responsible & trustworthy real-time face recognition solution.

Rank One Computing was founded by a team of engineers with deep experience in Artificial Intelligence and Machine Learning offering a fast pace of R&D innovation, consistently improving accuracy release-over-release. Trusted by 70+ integrator customers serving the United States Department of Defense, 20+ law enforcement agencies, multiple Fortune 500 financial institutions, and major global credit card companies, Rank One's mission is to make the world safer and more convenient.In 2020, a black man was wrongfully arrested in Detroit because of a match in the police ROC's system. A black woman was also arrested in 2023 in Detroit.",,,,
46,4,Axon (Dedrone),Research & Industry Days 2025,RID 2025 ,USA,"Dedrone is a drone control company, used by military across Europe, the US and beyond for border management, location control. In Oct. 2024: Dedrone, the global leader in airspace awareness and security, is now officially part of Axon. Dedrone is the global leader in smart airspace security. Hundreds of commercial, government and military customers around the world rely on Dedrone's comprehensive, command and control (C2) solution to protect against the persistent and escalating threat from drones while enabling ""good"" drones to fly. By leveraging AI/ML, Dedrone is the only solution that provides continuous, autonomous interrogation and verification of drones that enables both multi-sensor and multi-mitigation options onto a single ""pane-of-glass."" Whether on-premise/air-gapped or in the cloud, Dedrone customers can easily detect, track, identify, analyze, and mitigate drone threats.Axon is the technology leader in global public safety. Our moonshot goal is to cut gun-related deaths between police and the public in the U.S. by 50% before 2033. Axon is building the public safety operating system of the future by integrating hardware devices and cloud software solutions that lead modern policing, defense and security. The Axon ecosystem includes TASER energy devices, body-worn cameras, in-car cameras, cloud-hosted digital evidence management solutions, productivity software, real-time operations capabilities and third-party integrations through Axon's partner network. Axon's growing global customer base includes first responders across international, federal, state and local law enforcement, fire, corrections and emergency medical services, as well as the justice sector, commercial enterprises and consumers.",,,,Axon Consulting joined European Cyber Security Organisation (ECSO) in 2022.
51,5,Zepo Intelligence,Research & Industry Days 2025,RID 2025 ,USA,"Zepo is a simple and powerful cybersecurity tool that allows you to monitor your team's security status, simulate potential threats, and schedule training with just a few clicks.",,,,
52,10,Aegis Technologies,Research & Industry Days 2025,RID 2025,USA,,,,,
53,49,Starlight Project w/ private partners DTO and VTT,Research & Industry days 2025,RID 2025,,,,,,
